Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
49ers,362,4235,11.7,15,49,14,83T,206,56.9,2
Bears,291,3085,10.6,13,30,4,70,144,49.5,1
Bengals,304,3386,11.1,25,34,9,77T,165,54.3,6
Bills,289,3086,10.7,16,40,4,47,149,51.6,3
Broncos,332,3668,11.0,19,55,3,54T,180,54.2,3
Browns,312,3537,11.3,15,53,5,56T,157,50.3,4
Buccaneers,378,4607,12.2,26,47,6,70,243,64.3,6
Cardinals,339,3979,11.7,21,55,5,52T,200,59.0,3
Chargers,366,4551,12.4,28,61,12,75T,220,60.1,3
Chiefs,363,4326,11.9,26,54,14,79T,198,54.5,2
Colts,285,3226,11.3,13,36,9,80T,148,51.9,4
Cowboys,309,3326,10.8,22,34,8,81T,162,52.4,2
Dolphins,373,3792,10.2,24,41,5,65T,187,50.1,10
Eagles,341,3967,11.6,38,43,9,72T,193,56.6,2
Falcons,343,4146,12.1,21,55,9,88T,200,58.3,1
Giants,373,3680,9.9,20,33,6,77T,178,47.7,1
Jaguars,316,3716,11.8,21,42,7,75T,193,61.1,4
Jets,323,3501,10.8,19,46,8,69T,157,48.6,5
Lions,374,4470,12.0,29,61,16,71T,210,56.1,2
Packers,352,3532,10.0,25,38,8,72,176,50.0,2
Panthers,293,3319,11.3,22,46,5,64,167,57.0,1
Patriots,389,4619,11.9,32,63,10,64T,232,59.6,2
Raiders,347,3761,10.8,23,47,10,87T,178,51.3,9
Rams,320,4023,12.6,28,57,13,94T,185,57.8,5
Ravens,363,3235,8.9,20,29,5,66,168,46.3,4
Redskins,347,4093,11.8,27,59,9,74,191,55.0,4
Saints,386,4334,11.2,23,72,11,54T,201,52.1,5
Seahawks,340,3979,11.7,34,58,12,74T,183,53.8,1
Steelers,384,4534,11.8,29,56,16,97T,217,56.5,4
Texans,299,3644,12.2,28,53,6,72T,180,60.2,2
Titans,306,3394,11.1,14,39,6,75T,157,51.3,3
Vikings,357,3929,11.0,25,53,9,65T,196,54.9,4
