Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
49ers,544,344,63.2,7.2,3764,27,10,93.9,198,36.4,50,10,72T,30
Bears,529,343,64.8,6.9,3376,18,8,89.9,180,34.0,36,8,88T,42
Bengals,561,336,59.9,6.5,3379,20,11,82.9,173,30.8,45,8,72,41
Bills,573,370,64.6,6.7,3688,14,18,78.9,199,34.7,42,3,77T,27
Broncos,491,294,59.9,6.9,3210,29,10,91.9,166,33.8,47,6,64T,33
Browns,525,360,68.6,7.4,3684,28,7,102.3,189,36.0,48,7,61T,34
Buccaneers,549,371,67.6,7.8,4169,22,13,94.6,202,36.8,57,12,61T,22
Cardinals,564,343,60.8,6.7,3541,24,15,83.9,187,33.2,44,8,72T,37
Chargers,524,329,62.8,6.5,3156,17,18,78.1,153,29.2,37,4,87T,43
Chiefs,570,325,57.0,7.2,3952,23,16,81.5,204,35.8,53,14,69,31
Colts,513,320,62.4,8.0,3946,23,13,91.9,192,37.4,64,11,67,25
Cowboys,559,371,66.4,6.7,3425,28,10,94.6,181,32.4,43,6,56T,38
Dolphins,528,339,64.2,7.2,3603,26,9,94.8,190,36.0,57,4,69T,30
Eagles,601,363,60.4,6.5,3637,24,19,79.5,177,29.5,40,10,77T,38
Falcons,553,362,65.5,6.7,3429,22,8,91.9,197,35.6,43,4,54T,39
Giants,561,347,61.9,7.5,4038,32,13,94.2,189,33.7,54,13,83T,27
Jaguars,509,289,56.8,6.0,2718,17,21,68.5,143,28.1,40,12,74T,55
Jets,558,329,59.0,7.0,3749,30,11,90.1,191,34.2,61,8,79T,28
Lions,570,366,64.2,7.2,3892,21,19,84.1,205,36.0,45,8,97T,35
Packers,513,348,67.8,7.9,3789,30,11,102.0,211,41.1,55,8,71T,37
Panthers,550,351,63.8,7.2,3665,25,10,92.9,187,34.0,49,8,70,50
Patriots,590,367,62.2,7.3,4020,24,12,89.5,204,34.6,49,10,78T,42
Raiders,530,361,68.1,7.6,3858,24,5,101.8,187,35.3,50,13,74,31
Rams,555,324,58.4,6.8,3475,21,18,78.4,181,32.6,54,6,65T,48
Ravens,569,333,58.5,6.5,3421,18,22,72.4,179,31.5,48,7,57,41
Redskins,531,306,57.6,7.0,3420,23,16,81.0,171,32.2,54,10,75T,42
Saints,554,329,59.4,7.0,3597,22,20,79.0,172,31.0,57,8,53T,42
Seahawks,554,325,58.7,6.5,3347,19,14,79.1,181,32.7,44,5,75T,39
Steelers,499,297,59.5,7.2,3217,20,16,81.8,157,31.5,48,13,75T,56
Texans,501,321,64.1,8.0,3799,30,11,99.5,176,35.1,53,17,94T,32
Titans,605,369,61.0,6.8,3828,27,12,87.8,231,38.2,37,7,80T,43
Vikings,555,324,58.4,6.0,3078,13,14,73.0,168,30.3,35,5,52,37
