Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
49ers,491,1861,3.8,13,10,1,45,108,22.0,10
Bears,432,1730,4.0,10,9,1,58T,85,19.7,8
Bengals,489,2046,4.2,13,8,1,49T,111,22.7,4
Bills,466,1994,4.3,22,14,3,51,121,26.0,5
Broncos,428,1430,3.3,9,8,3,47,68,15.9,4
Browns,467,1566,3.4,14,10,0,39,95,20.3,5
Buccaneers,440,1880,4.3,17,14,1,69,102,23.2,9
Cardinals,406,1434,3.5,12,9,0,37,68,16.7,7
Chargers,430,2098,4.9,11,18,6,69T,99,23.0,5
Chiefs,443,1890,4.3,15,6,0,27,112,25.3,4
Colts,488,1927,3.9,15,12,2,72T,99,20.3,10
Cowboys,403,1664,4.1,7,7,1,71,96,23.8,6
Dolphins,431,1768,4.1,14,13,3,69,88,20.4,9
Eagles,337,1267,3.8,7,11,1,53T,62,18.4,3
Falcons,402,1665,4.1,9,6,1,46,97,24.1,8
Giants,464,1933,4.2,10,13,1,51T,101,21.8,3
Jaguars,429,1860,4.3,9,6,2,75T,91,21.2,8
Jets,466,1887,4.0,13,13,6,70,88,18.9,9
Lions,432,1800,4.2,18,8,3,51,110,25.5,8
Packers,464,1793,3.9,10,11,0,37,95,20.5,6
Panthers,353,1409,4.0,7,10,2,72,69,19.5,1
Patriots,390,1836,4.7,6,11,2,87T,98,25.1,6
Raiders,433,1743,4.0,11,9,3,48T,93,21.5,6
Rams,417,1957,4.7,15,12,4,75T,86,20.6,8
Ravens,435,1780,4.1,12,12,3,59,87,20.0,5
Redskins,472,2146,4.5,13,14,1,75T,105,22.2,8
Saints,406,1787,4.4,11,12,3,50,92,22.7,5
Seahawks,452,1824,4.0,14,9,3,75T,90,19.9,8
Steelers,385,1693,4.4,14,10,3,90T,89,23.1,4
Texans,440,1747,4.0,14,13,1,75T,88,20.0,4
Titans,398,1420,3.6,5,3,0,34,68,17.1,9
Vikings,364,1337,3.7,10,6,2,62,59,16.2,4
