Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
49ers,423,1902,4.5,7,15,3,66T,98,23.2,13
Bears,468,1938,4.1,16,17,1,42,108,23.1,9
Bengals,359,1682,4.7,13,16,3,51,92,25.6,2
Bills,468,1984,4.2,15,15,1,45,108,23.1,7
Broncos,393,1907,4.9,18,12,3,65T,107,27.2,4
Browns,411,1893,4.6,15,18,5,92T,93,22.6,6
Buccaneers,389,1523,3.9,11,5,0,28,80,20.6,5
Cardinals,355,1342,3.8,9,6,1,53,76,21.4,6
Chargers,399,1873,4.7,16,16,1,41,100,25.1,2
Chiefs,387,1855,4.8,16,19,1,45,108,27.9,4
Colts,408,1718,4.2,13,9,2,53,96,23.5,5
Cowboys,439,1963,4.5,13,12,1,41,113,25.7,10
Dolphins,371,1738,4.7,7,12,3,75T,75,20.2,7
Eagles,398,1570,3.9,12,7,0,32,94,23.6,5
Falcons,351,1573,4.5,11,14,3,65,84,23.9,4
Giants,354,1650,4.7,13,17,7,78T,71,20.1,0
Jaguars,416,1723,4.1,7,9,2,43,92,22.1,5
Jets,410,1622,4.0,11,11,3,77T,84,20.5,9
Lions,404,1660,4.1,11,10,1,71,91,22.5,3
Packers,333,1667,5.0,14,10,1,67,98,29.4,4
Panthers,416,2136,5.1,17,15,3,59,117,28.1,7
Patriots,478,2037,4.3,18,12,0,34T,131,27.4,2
Raiders,387,1628,4.2,9,8,2,52,86,22.2,8
Rams,459,2231,4.9,23,14,2,56,134,29.2,2
Ravens,547,2441,4.5,19,14,1,43,153,28.0,16
Redskins,414,1774,4.3,12,7,3,90T,96,23.2,6
Saints,471,2025,4.3,26,9,1,49T,134,28.5,7
Seahawks,534,2560,4.8,15,17,2,61,133,24.9,6
Steelers,345,1445,4.2,16,10,0,30,88,25.5,4
Texans,472,2021,4.3,12,8,2,97T,94,19.9,4
Titans,454,2023,4.5,15,10,2,99T,106,23.3,4
Vikings,357,1493,4.2,9,13,1,70,66,18.5,6
